,FirstName,LastName,Gender,Age,MarriageStatus,PhoneNumber,NetYearlyIncome,HighValueIndividual,Email
1,Maisy,O'Doherty,Female,26.0,Single,(488) 238-8338,73000.0,No,maisyodoherty@gmail.com
2,Ellis,Ross,Female,66.0,Married,(830) 694-4738,176000.0,No,ellisross@gmail.com
3,Dana,Oconnor,Female,52.0,Married,(296) 855-2148,266000.0,No,danaoconnor@gmail.com
4,Gareth,Ferrell,Male,46.0,Single,(882) 400-9859,729000.0,Yes,garethferrell@gmail.com
6,Jemma,Sloan,Female,41.0,Married,(730) 864-9016,480000.0,Yes,jemmasloan@gmail.com
8,Lilly-Rose,Humphrey,Female,29.0,Single,(897) 854-9070,368000.0,Yes,lilly-rosehumphrey@gmail.com
9,Ruairi,Schmidt,Male,30.0,Single,(766) 325-9938,936000.0,Yes,ruairischmidt@gmail.com
10,Cody,Drake,Male,56.0,Married,(740) 812-6242,283000.0,No,codydrake@gmail.com
11,Mark,Barton,Male,52.0,Married,(635) 350-3681,33000.0,No,markbarton@gmail.com
12,Mackenzie,Stone,Female,74.0,Single,(502) 860-7035,83000.0,No,mackenziestone@gmail.com
14,Joao,Thomas,Male,77.0,Married,(868) 694-8380,328000.0,Yes,joaothomas@gmail.com
15,Sumayyah,Andersen,Female,39.0,Married,(333) 528-2260,311000.0,Yes,sumayyahandersen@gmail.com
16,Hermione,Chambers,Female,55.0,Married,(733) 520-5821,167000.0,No,hermionechambers@gmail.com
17,Filip,Maldonado,Male,27.0,Single,(759) 460-8220,787000.0,Yes,filipmaldonado@gmail.com
18,Keanu,Quinn,Male,43.0,Married,(750) 849-6452,354000.0,Yes,keanuquinn@gmail.com
20,Ray,Schultz,Male,33.0,Single,(450) 976-7499,64000.0,No,rayschultz@gmail.com
21,Catherine,Johnson,Female,58.0,Married,(475) 356-6995,320000.0,Yes,catherinejohnson@gmail.com
22,Kasey,Hartley,Male,55.0,Married,(734) 941-7926,572000.0,Yes,kaseyhartley@gmail.com
24,Sasha,Connor,Female,48.0,Single,(340) 653-2348,714000.0,Yes,sashaconnor@gmail.com
25,Jannat,Harris,Female,41.0,Married,(266) 318-6686,783000.0,Yes,jannatharris@gmail.com
26,Alessandro,Pratt,Male,61.0,Married,(390) 590-0537,441000.0,Yes,alessandropratt@gmail.com
28,Rebekah,Escobar,Male,32.0,Single,(819) 275-2204,200000.0,No,rebekahescobar@gmail.com
29,Stephen,Dorsey,Male,21.0,Single,(528) 724-4113,232000.0,No,stephendorsey@gmail.com
32,Fred,Blake,Male,57.0,Married,(433) 735-3551,883000.0,Yes,fredblake@gmail.com
34,Victoria,Gallegos,Female,40.0,Single,(953) 954-5828,840000.0,Yes,victoriagallegos@gmail.com
35,Ewan,Osborne,Male,59.0,Married,(875) 253-6641,917000.0,Yes,ewanosborne@gmail.com
